,0
194,500.0
195,286.0
196,396.0
197,449.0
198,306.0
199,233.0
200,141.0
201,93.0
202,234.0
203,247.0
204,119.0
205,126.0
206,142.0
207,12.0
208,258.0
209,375.0
210,142.0
211,84.0
212,79.0
213,250.0
214,38.0
215,247.0
216,61.0
217,272.0
218,78.0
219,349.0
220,39.0
221,209.0
222,200.0
223,139.0
224,416.0
225,326.0
226,179.0
227,272.0
228,268.0
229,166.0
230,207.0
231,171.0
232,149.0
233,147.0
234,144.0
235,135.0
236,164.0
237,143.0
238,139.0
239,491.0
240,22.0
241,151.0
242,167.0
243,136.0
244,174.0
245,129.0
246,154.0
247,147.0
248,29.0
249,120.0
250,148.0
251,27.0
252,121.0
253,125.0
254,161.0
255,27.0
256,121.0
257,116.0
258,179.0
259,153.0
260,139.0
261,138.0
262,132.0
263,269.0
264,211.0
265,277.0
266,116.0
267,117.0
268,262.0
269,26.0
270,106.0
271,106.0
272,168.0
273,178.0
274,15.0
275,17.0
276,108.0
277,130.0
278,22.0
279,178.0
280,178.0
281,107.0
282,78.0
283,20.0
284,33.0
285,23.0
286,221.0
287,79.0
288,18.0
289,132.0
290,18.0
291,71.0
292,13.0
293,165.0
294,70.0
295,14.0
296,118.0
297,15.0
298,122.0
299,161.0
300,165.0
301,115.0
302,109.0
303,20.0
304,16.0
305,255.0
306,17.0
307,112.0
308,294.0
309,13.0
310,15.0
311,116.0
312,17.0
313,112.0
314,162.0
315,115.0
316,16.0
317,88.0
318,61.0
319,106.0
320,148.0
321,108.0
322,111.0
323,110.0
324,106.0
325,114.0
326,139.0
327,18.0
328,19.0
329,15.0
330,103.0
331,107.0
332,108.0
333,106.0
334,107.0
335,20.0
336,205.0
337,119.0
338,112.0
339,111.0
340,112.0
341,15.0
342,24.0
343,107.0
344,133.0
345,128.0
346,110.0
347,113.0
348,21.0
349,114.0
350,113.0
351,114.0
352,109.0
353,12.0
354,111.0
355,106.0
356,116.0
357,110.0
358,107.0
359,121.0
360,115.0
361,18.0
362,116.0
363,116.0
364,118.0
365,117.0
366,116.0
367,114.0
368,122.0
369,114.0
370,12.0
371,120.0
372,118.0
373,155.0
374,13.0
375,122.0
376,181.0
377,19.0
378,125.0
379,119.0
380,11.0
381,132.0
382,120.0
383,120.0
384,123.0
385,12.0
386,119.0
387,124.0
388,125.0
389,119.0
390,123.0
391,13.0
392,132.0
393,125.0
394,116.0
395,117.0
396,123.0
397,129.0
398,115.0
399,132.0
400,120.0
401,133.0
402,127.0
403,122.0
404,130.0
405,68.0
406,123.0
407,119.0
408,15.0
409,124.0
410,118.0
411,13.0
412,120.0
413,115.0
414,119.0
415,128.0
416,132.0
417,128.0
418,131.0
419,130.0
420,139.0
421,172.0
422,141.0
423,155.0
424,137.0
425,142.0
426,140.0
427,137.0
428,132.0
429,142.0
430,139.0
431,149.0
432,144.0
433,138.0
434,146.0
435,138.0
436,147.0
437,133.0
438,144.0
439,134.0
440,145.0
441,159.0
442,153.0
443,149.0
444,151.0
445,156.0
446,156.0
447,144.0
448,146.0
449,149.0
450,153.0
451,18.0
452,154.0
453,139.0
454,151.0
455,157.0
456,149.0
457,147.0
458,147.0
459,145.0
460,152.0
461,15.0
462,159.0
463,157.0
464,159.0
465,10.0
466,157.0
467,158.0
468,157.0
469,152.0
470,158.0
471,154.0
472,159.0
473,160.0
474,154.0
475,164.0
476,154.0
477,156.0
478,161.0
479,163.0
480,158.0
481,166.0
482,172.0
483,161.0
484,169.0
485,178.0
486,177.0
487,172.0
488,172.0
489,178.0
490,160.0
491,163.0
492,188.0
493,186.0
494,208.0
495,13.0
496,193.0
497,182.0
498,184.0
499,189.0
500,165.0
501,233.0
502,355.0
503,231.0
504,261.0
505,360.0
506,433.0
507,315.0
508,336.0
509,17.0
510,164.0
511,263.0
512,365.0
513,16.0
514,25.0
515,239.0
516,468.0
517,11.0
518,250.0
519,268.0
520,201.0
521,80.0
522,11.0
523,14.0
524,12.0
525,12.0
526,12.0
527,31.0
528,12.0
529,13.0
530,141.0
531,74.0
532,167.0
533,15.0
534,159.0
535,248.0
536,169.0
537,167.0
538,268.0
539,205.0
540,283.0
